code,name,price,position,vol_ratio,pct_20d,stage,confidence,reasons,date
sz300056,中创环保,7.81,30.41543026706231,0.9599565516447195,-8.117647058823534,建仓后期,50.0,位置分位30.4%（中低位）,2026-09-18
sz301439,泓淋电力,14.38,15.092879256965949,0.8227539744357589,-3.3602150537634405,建仓后期,66.66666666666666,位置分位15.1%（低位）,2026-09-18
sz002494,华斯股份,4.56,24.06639004149376,1.0262882748319642,-5.5900621118012515,建仓后期,66.66666666666666,位置分位24.1%（低位）,2026-09-18
sz301356,天振股份,18.94,30.258538142355583,1.154822819612036,-5.205205205205201,建仓后期,50.0,位置分位30.3%（中低位）,2026-09-18
sz300883,龙利得,6.34,47.46835443037975,0.7840247986220797,-3.206106870229007,建仓后期,50.0,位置分位47.5%（中低位）,2026-09-18
sz301556,托普云农,62.0,25.475699915161794,1.0064777589756304,6.896551724137931,建仓后期,80.0,"位置分位25.5%（低位）, 低位涨6.9%",2026-09-18
sz002575,群兴玩具,5.15,21.359223300970886,0.9257298610569352,3.83064516129033,建仓后期,75.0,位置分位21.4%（低位）,2026-09-18
sz300487,蓝晓科技,68.78,55.64636159445783,0.8007029435253388,2.8255344595604734,洗盘,66.66666666666666,位置分位55.6%（中位）,2026-09-18
sz000716,黑芝麻,5.07,48.49785407725324,0.9113277577901854,5.62500000000001,建仓后期,62.5,"位置分位48.5%（中低位）, 低位涨5.6%",2026-09-18
sz301235,华康洁净,47.2,30.49588436057018,1.107951034258042,8.881199538638988,建仓后期,72.72727272727273,"位置分位30.5%（中低位）, 低位涨8.9%, 当日涨6.43%, MA20之上",2026-09-18
sz002030,达安基因,5.37,19.06354515050168,1.687157688739786,-4.10714285714285,建仓后期,80.0,"位置分位19.1%（低位）, 低位放量（量比1.69）, 价升量增",2026-09-18
sz300388,节能国祯,6.72,23.056898475269623,0.622879402544717,-1.8978102189781008,建仓初期,64.70588235294117,"低位缩量（量比0.62）, MA20之下（低位）, MA60之下（低位）, 连续3天缩量",2026-09-18
sz000059,华锦股份,5.4,66.79687500000001,0.7940079615695665,14.649681528662429,洗盘,69.23076923076923,"位置分位66.8%（中位）, 连续3天缩量",2026-09-18
sz003003,天元股份,10.52,29.678982434887928,0.6897412544441031,-4.968383017163512,建仓初期,62.5,"低位缩量（量比0.69）, MA20之下（低位）, MA60之下（低位）, 价跌量缩",2026-09-18
sz002681,奋达科技,4.6,31.313131313131297,0.9369331282578051,3.8374717832957095,建仓后期,50.0,位置分位31.3%（中低位）,2026-09-18
sz301557,常友科技,85.69,72.03174603174602,1.2660003506926178,-1.2788018433179718,出货,54.54545454545454,位置分位72.0%（中高位）,2026-09-18
sz300529,健帆生物,15.01,5.627009646302239,1.1896167848127956,-4.758883248730965,建仓初期,100.0,"位置分位5.6%（极低位）, MA20之下（低位）, MA60之下（低位）",2026-09-18
sz001267,汇绿生态,38.03,25.67653202525407,1.4155338793463013,1.5487316421895814,建仓后期,90.9090909090909,"位置分位25.7%（低位）, 当日涨4.05%, MA20之上, 价升量增",2026-09-18
sz002830,名雕股份,14.56,51.941747572815544,0.9049814625250535,6.355003652300957,洗盘,60.0,位置分位51.9%（中位）,2026-09-18
sz000504,南华生物,10.01,90.33232628398791,2.1817688989365385,18.74258600237248,拉升,50.0,"20日大涨18.7%, 当日大涨10.00%, MA20之上, MA60之上, 价升量增",2026-09-18
sz000822,山东海化,4.26,14.47811447811447,0.8133101029829546,-1.6166281755196372,建仓后期,66.66666666666666,位置分位14.5%（低位）,2026-09-18
sz300182,捷成股份,5.02,29.76095617529879,1.0674920756196669,3.9337474120082714,建仓后期,75.0,位置分位29.8%（低位）,2026-09-18
sz300532,今天国际,7.01,41.597337770382694,0.8816090308417823,1.1544011544011554,建仓后期,50.0,位置分位41.6%（中低位）,2026-09-18
sz000728,国元证券,7.47,62.32876712328769,1.073023251856003,6.107954545454541,洗盘,60.0,位置分位62.3%（中位）,2026-09-18
sz002150,正泰电源,21.24,9.333333333333327,1.1198721941669818,-7.248908296943232,建仓初期,75.0,"位置分位9.3%（极低位）, MA60之下（低位）",2026-09-18
sz301632,广东建科,13.21,5.787037037037036,1.2873416445445076,-4.758471521268914,建仓初期,91.66666666666666,"位置分位5.8%（极低位）, MA20之下（低位）, MA60之下（低位）",2026-09-18
sz300229,拓尔思,13.02,14.916467780429596,0.9840960166591068,-3.340757238307358,建仓后期,66.66666666666666,位置分位14.9%（低位）,2026-09-18
sz002438,江苏神通,13.46,29.832572298325733,1.2377180244876742,-2.8158844765342876,建仓后期,70.0,"位置分位29.8%（低位）, 价升量增",2026-09-18
sz000837,秦川机床,9.68,22.83464566929134,1.5535763829892484,-3.6815920398010045,建仓后期,80.0,"位置分位22.8%（低位）, 低位放量（量比1.55）, 价升量增",2026-09-18
