code,name,base_date,confirm_date,ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,pos_zone,high_dist
sz002928,华夏航空,66,69,-6.32,0,78.0,11.03,39.15,False,高位(65-85%),10-20%
sz002397,梦洁股份,282,285,0.28,1,89.3,2.53,21.2,False,过峰(>85%),0-5%
sz300736,百邦科技,160,163,0.06,1,32.0,57.7,27.22,False,低位(20-35%),>20%
sz300295,*ST三六,392,395,14.65,1,23.1,48.58,14.61,False,低位(20-35%),>20%
sz000069,华侨城Ａ,250,253,2.65,1,57.9,6.67,9.17,False,中位(35-65%),5-10%
sz301075,多瑞医药,242,245,4.87,1,96.5,1.96,54.65,False,过峰(>85%),0-5%
sz301075,多瑞医药,465,468,1.58,1,20.5,76.81,19.86,False,低位(20-35%),>20%
sz300900,广联航空,440,443,-2.46,0,40.8,33.37,23.03,False,中位(35-65%),>20%
sz000056,*ST皇庭,62,65,-13.26,0,109.0,-4.96,59.8,True,,已突破
sz002638,勤上股份,364,367,7.65,1,109.2,-3.18,37.93,True,,已突破
sz000980,众泰汽车,226,229,0.58,1,59.1,19.75,28.57,False,中位(35-65%),10-20%
sz002607,中公教育,402,405,-4.47,0,29.9,30.71,13.11,False,低位(20-35%),>20%
sz002234,民和股份,443,446,-2.89,0,28.7,33.38,13.46,False,低位(20-35%),>20%
sz300948,冠中生态,468,471,5.47,1,38.0,51.17,31.41,False,中位(35-65%),>20%
sz002413,雷科防务,329,332,-33.09,0,113.8,-9.04,74.47,True,,已突破
sz002554,惠博普,324,327,-4.34,0,51.2,18.29,19.17,False,中位(35-65%),10-20%
sz002805,丰元股份,320,323,-4.91,0,57.2,26.32,35.12,False,中位(35-65%),>20%
sz002723,小崧股份,435,438,-5.59,0,38.9,24.15,15.38,False,中位(35-65%),>20%
sz300903,科翔股份,285,288,10.13,1,99.9,0.06,55.24,False,过峰(>85%),0-5%
sz002656,摩登大道,94,97,26.35,1,80.0,11.11,44.44,False,高位(65-85%),10-20%
sz000972,中基健康,102,105,-9.62,0,96.1,1.65,40.38,False,过峰(>85%),0-5%
sz000757,浩物股份,250,253,-8.23,0,102.1,-1.02,50.42,True,,已突破
sz300555,ST路通,235,238,-3.14,0,72.2,10.75,27.9,False,高位(65-85%),10-20%
sz000525,红太阳,129,132,-1.59,0,17.8,53.38,11.58,False,凹底(<20%),>20%
sz000926,福星股份,251,254,-20.46,0,103.3,-1.45,44.8,True,,已突破
sz002272,川润股份,102,105,8.95,1,37.1,89.84,53.05,False,中位(35-65%),>20%
